##$#TombolaLib;1.1;CSV_PACKED_PLUS
#
# TombolaLib 1.1
# File description: Series list freshly generated by TombolaCards
# Creation timestamp: 2020/03/29 13:13:58
# File Format: CSV_PACKED_PLUS. Use of Jolly numbers: ON
# 40 Series (240 cards)
# Card generation tecnique: PerfectSwap_1.1
# Card set generation heuristic: Control & Add Factory 1.0
#
CardLabel;Num0;Num1;Num2;Num3;Num4;Num5;Num6;Num7;Num8;Num9;Num10;Num11;Num12;Num13;Num14;JollyIndex;MaxEqualPerCard;MaxEqualPerRow;
"Lucky-054-EZ";08;18;27;60;87;16;20;38;67;77;39;45;55;69;76;(09);06;03;
"Lucky-055-OP";21;33;47;71;86;10;34;44;65;82;09;31;57;66;81;(09);06;03;
"Lucky-056-C5";03;15;22;59;69;18;28;48;76;87;23;39;46;74;84;(12);06;03;
"Lucky-057-5F";30;49;56;68;77;02;25;54;67;85;14;40;62;78;89;(13);06;03;
"Lucky-058-1H";29;52;60;75;90;04;16;37;43;70;01;13;38;53;72;(12);06;02;
"Lucky-059-EV";11;27;41;64;80;06;19;20;36;50;07;17;32;79;83;(14);06;03;
"Lucky-060-ZF";05;12;26;42;55;24;58;61;73;88;08;35;45;51;63;(06);06;03;
"Lucky-061-2L";06;11;28;55;80;09;38;46;64;87;19;29;49;58;78;(02);06;03;
"Lucky-062-LV";14;22;44;62;70;10;48;52;60;74;08;32;66;79;85;(08);06;02;
"Lucky-063-B7";39;42;59;69;81;03;31;50;73;88;05;13;20;47;68;(05);06;03;
"Lucky-064-8L";02;27;57;61;90;01;16;24;35;82;30;43;53;75;83;(11);06;03;
"Lucky-065-8F";12;25;54;77;89;18;37;45;65;71;04;17;21;67;76;(10);06;02;
"Lucky-066-5D";07;33;41;56;84;15;26;34;40;86;23;36;51;63;72;(09);06;03;
"Lucky-067-EN";06;29;44;57;89;07;11;46;65;82;26;39;40;78;81;(08);06;03;
"Lucky-068-B5";19;36;47;64;75;25;35;54;71;90;05;10;22;62;72;(14);06;03;
"Lucky-069-8J";09;15;27;59;63;03;38;43;76;85;12;41;53;68;86;(13);06;03;
"Lucky-070-WH";02;21;51;77;88;08;13;55;61;70;16;24;33;49;67;(11);06;03;
"Lucky-071-G7";28;31;45;56;60;18;32;48;73;80;04;17;52;79;83;(08);06;03;
"Lucky-072-BL";01;14;23;30;58;37;50;66;74;84;20;34;42;69;87;(06);06;03;
"Lucky-073-ET";07;17;47;73;83;03;25;46;51;90;15;33;59;68;84;(01);06;03;
"Lucky-074-DT";09;37;55;66;79;13;24;56;63;81;14;22;42;65;71;(12);06;03;
"Lucky-075-AL";20;44;67;72;85;19;35;69;74;88;02;23;54;77;86;(12);06;02;
"Lucky-076-E3";11;31;43;53;62;05;27;52;70;82;04;49;58;64;87;(04);06;03;
"Lucky-077-4N";28;36;48;75;80;06;39;41;57;60;18;21;34;45;76;(12);06;03;
"Lucky-078-0N";01;12;38;40;61;08;10;26;32;50;16;29;30;78;89;(12);06;03;
"Lucky-079-U7";14;44;52;68;90;09;18;24;35;57;04;16;33;74;88;(13);06;03;
"Lucky-080-J3";05;28;62;79;87;19;20;36;76;80;26;31;48;53;66;(06);06;03;
"Lucky-081-H5";12;34;47;61;73;07;10;43;50;82;25;46;55;78;86;(08);06;03;
"Lucky-082-CH";11;23;38;49;70;40;54;63;72;85;01;15;27;56;89;(12);06;03;
"Lucky-083-13";06;22;58;67;83;02;39;64;71;84;03;13;30;41;69;(10);06;03;
"Lucky-084-E9";32;42;51;65;77;29;37;45;75;81;08;17;21;59;60;(03);06;03;
"Lucky-085-WP";06;16;46;74;86;11;21;40;61;89;02;20;34;57;72;(11);06;03;
"Lucky-086-8Z";03;10;54;64;75;26;38;48;52;81;17;24;49;59;80;(04);06;03;
"Lucky-087-DJ";04;27;31;62;71;01;18;50;77;85;25;36;47;78;84;(01);06;03;
"Lucky-088-6Z";13;32;51;69;87;05;23;43;67;79;08;30;41;58;66;(06);06;03;
"Lucky-089-6R";09;12;28;63;83;22;33;53;65;73;15;35;45;60;76;(13);06;02;
"Lucky-090-PR";07;19;39;42;90;29;56;68;70;88;14;37;44;55;82;(07);06;03;
"Lucky-091-P9";02;16;22;49;52;11;20;30;67;81;04;21;68;79;87;(12);06;02;
"Lucky-092-6V";17;35;46;63;72;03;12;31;40;69;28;43;55;76;82;(03);06;02;
"Lucky-093-HL";18;23;32;47;89;19;29;33;57;71;07;58;65;73;90;(07);06;03;
"Lucky-094-B3";05;14;26;44;88;10;36;51;74;80;25;37;59;64;75;(03);06;03;
"Lucky-095-5H";13;27;38;41;84;08;45;56;62;85;01;34;42;61;70;(13);06;03;
"Lucky-096-RZ";09;15;48;53;77;06;24;50;60;86;39;54;66;78;83;(11);06;03;
"Lucky-097-E5";08;10;36;57;86;21;38;51;67;78;02;12;27;33;43;(06);06;03;
"Lucky-098-PJ";25;55;64;79;80;11;23;44;52;77;09;32;49;69;71;(14);06;03;
"Lucky-099-5T";16;46;50;63;84;13;24;54;61;72;07;19;35;42;83;(03);06;03;
"Lucky-100-OP";05;56;60;73;85;22;30;41;70;81;04;17;53;65;75;(10);06;03;
"Lucky-101-MF";31;45;59;74;87;03;26;34;62;89;14;29;37;48;90;(08);06;03;
"Lucky-102-1B";15;20;40;76;88;06;28;47;68;82;01;18;39;58;66;(00);06;02;
"Lucky-103-F5";19;34;44;53;75;03;28;37;48;69;23;45;67;71;87;(09);06;03;
"Lucky-104-CL";08;13;35;40;86;07;11;22;46;79;01;26;54;65;70;(10);06;03;
"Lucky-105-JX";17;43;50;61;80;05;24;59;74;84;18;32;47;52;73;(10);06;03;
"Lucky-106-93";06;12;39;55;77;14;25;49;58;81;10;30;63;76;85;(14);06;03;
"Lucky-107-A3";20;33;51;72;82;02;16;31;56;62;27;36;41;66;89;(10);06;03;
"Lucky-108-RF";09;21;38;64;88;15;29;42;68;90;04;57;60;78;83;(12);06;03;
"Lucky-109-9L";02;36;59;63;84;26;45;66;76;83;10;41;68;70;82;(04);06;02;
"Lucky-110-BL";21;48;53;67;72;12;25;31;47;87;07;32;40;57;90;(09);06;03;
"Lucky-111-TX";06;22;38;51;88;04;18;34;79;86;13;30;46;50;60;(14);06;03;
"Lucky-112-PP";17;29;43;56;71;08;20;69;75;85;05;19;27;33;54;(07);06;03;
"Lucky-113-Q7";11;44;65;77;89;01;16;42;52;74;28;35;55;73;80;(11);06;03;
"Lucky-114-RH";15;49;58;64;81;09;14;23;37;62;03;24;39;61;78;(00);05;03;
"Lucky-115-M7";13;24;47;56;64;18;36;45;60;72;08;15;21;30;89;(14);06;03;
"Lucky-116-DB";26;40;50;70;82;02;49;63;75;81;07;17;25;38;71;(08);06;03;
"Lucky-117-C7";14;44;54;78;87;09;27;33;52;62;05;22;53;69;83;(11);06;03;
"Lucky-118-LV";10;35;46;57;67;19;28;48;51;84;04;12;29;32;74;(04);06;03;
"Lucky-119-01";34;59;66;77;85;03;23;42;68;80;01;16;61;76;86;(02);06;02;
"Lucky-120-OJ";06;20;31;41;73;11;39;55;65;88;37;43;58;79;90;(01);06;03;
"Lucky-121-1R";01;15;34;42;80;16;20;37;48;65;05;13;22;50;76;(14);06;03;
"Lucky-122-8J";18;28;62;75;89;04;35;46;59;74;07;29;30;58;64;(01);06;03;
"Lucky-123-UD";26;41;52;61;72;06;33;56;66;73;17;47;54;67;86;(06);06;03;
"Lucky-124-GR";02;21;32;53;88;23;49;57;68;90;08;10;43;77;87;(07);06;03;
"Lucky-125-W5";11;24;31;71;85;27;38;55;63;82;09;44;60;79;84;(07);06;03;
"Lucky-126-51";14;25;51;78;81;03;19;39;45;69;12;36;40;70;83;(07);06;03;
"Lucky-127-LH";22;32;44;61;86;16;38;41;50;88;07;23;64;71;82;(08);06;03;
"Lucky-128-E7";09;11;62;73;83;13;37;45;57;89;10;28;31;66;84;(04);06;03;
"Lucky-129-EJ";02;20;30;55;85;06;39;40;69;78;08;12;29;46;51;(12);06;03;
"Lucky-130-59";15;27;58;63;70;03;19;21;60;77;17;34;47;75;81;(14);06;03;
"Lucky-131-O9";26;43;68;76;90;01;18;42;56;74;05;36;54;67;79;(04);06;03;
"Lucky-132-EN";14;25;59;65;80;24;35;49;53;72;04;33;48;52;87;(07);06;03;
"Lucky-133-NJ";05;13;35;47;81;30;56;61;72;80;16;23;58;71;84;(13);06;03;
"Lucky-134-VR";15;48;59;63;90;02;29;36;57;75;01;10;32;49;66;(12);06;03;
"Lucky-135-L3";07;37;41;77;83;18;26;50;60;89;03;42;51;67;73;(05);06;03;
"Lucky-136-G5";11;25;46;69;78;04;45;53;79;88;06;20;34;62;85;(07);06;03;
"Lucky-137-57";08;27;39;64;86;12;24;44;52;74;14;28;31;76;87;(10);06;03;
"Lucky-138-WZ";09;21;40;65;82;17;22;33;43;55;19;38;54;68;70;(02);06;03;
"Lucky-139-M1";02;13;35;47;55;01;19;45;59;89;12;26;51;65;78;(11);06;03;
"Lucky-140-5R";16;28;42;56;81;06;44;61;71;85;09;23;36;40;70;(01);06;03;
"Lucky-141-HB";15;22;33;43;74;49;52;66;79;82;03;18;37;62;75;(02);06;03;
"Lucky-142-43";24;38;48;68;87;14;50;63;76;83;05;10;69;77;80;(10);06;03;
"Lucky-143-R3";04;20;39;58;90;27;34;46;72;86;07;17;25;31;60;(01);06;03;
"Lucky-144-HZ";08;32;57;64;88;11;29;53;67;73;21;30;41;54;84;(11);06;03;
"Lucky-145-5Z";09;10;58;72;87;23;41;59;60;83;04;14;32;50;66;(08);06;03;
"Lucky-146-NF";19;22;39;43;70;35;52;64;78;89;06;17;51;62;85;(08);06;03;
"Lucky-147-U3";07;27;33;40;76;12;34;44;61;74;15;24;42;55;82;(07);06;03;
"Lucky-148-K7";20;30;47;63;90;13;25;57;71;88;08;26;37;68;77;(06);06;03;
"Lucky-149-AR";02;28;45;65;80;16;38;48;79;81;18;29;36;54;67;(07);06;03;
"Lucky-150-45";05;21;46;53;75;03;49;56;73;86;01;11;31;69;84;(07);06;02;
"Lucky-151-IN";01;20;59;64;77;19;29;51;67;90;02;36;40;71;88;(07);06;03;
"Lucky-152-61";12;31;57;65;70;14;21;37;45;79;06;33;42;76;81;(06);06;03;
"Lucky-153-CV";17;28;53;69;89;04;39;49;63;82;03;23;41;60;74;(00);06;03;
"Lucky-154-6H";10;24;44;50;66;07;22;30;56;85;27;34;55;78;83;(02);06;03;
"Lucky-155-JX";09;13;46;62;87;11;32;47;52;72;25;48;58;73;84;(07);06;03;
"Lucky-156-UR";08;15;38;54;80;05;16;35;61;75;18;26;43;68;86;(12);06;03;
"Lucky-157-LD";12;36;48;68;76;06;22;40;56;89;23;38;49;75;87;(00);06;03;
"Lucky-158-X1";05;14;37;52;72;20;32;58;64;80;08;34;41;53;67;(06);06;02;
"Lucky-159-PX";07;19;39;70;81;09;24;51;69;84;04;10;26;47;71;(00);06;03;
"Lucky-160-7F";21;30;46;73;88;15;25;35;63;90;01;17;42;50;78;(05);06;03;
"Lucky-161-07";44;54;66;77;82;13;29;31;60;83;02;43;55;65;74;(07);06;03;
"Lucky-162-63";03;18;27;57;85;11;28;33;62;86;16;45;59;61;79;(10);06;03;
"Lucky-163-3T";02;11;32;74;90;12;26;54;67;79;27;30;46;51;60;(08);06;03;
"Lucky-164-GV";10;59;66;78;84;13;36;69;72;87;05;18;28;38;45;(01);06;03;
"Lucky-165-DZ";20;31;49;55;61;06;34;47;58;64;16;43;52;77;85;(14);06;03;
"Lucky-166-3R";39;40;53;68;81;04;57;63;70;86;14;22;35;76;82;(04);06;03;
"Lucky-167-UB";03;17;21;56;83;01;24;41;65;80;15;23;37;73;89;(05);06;03;
"Lucky-168-PJ";08;19;25;48;71;07;44;62;75;88;09;29;33;42;50;(01);06;03;
"Lucky-169-67";19;21;36;72;80;14;23;56;64;78;06;16;47;53;85;(10);06;03;
"Lucky-170-IL";15;40;58;63;71;09;37;41;69;88;01;25;45;66;87;(05);06;03;
"Lucky-171-7F";11;24;38;49;65;05;12;20;46;90;39;55;60;76;84;(00);06;03;
"Lucky-172-5N";13;34;44;51;77;27;32;48;62;75;07;26;35;54;83;(08);06;03;
"Lucky-173-NN";29;31;57;61;73;33;42;59;70;82;08;18;22;68;79;(10);06;03;
"Lucky-174-WV";04;43;52;67;86;03;10;28;50;89;02;17;30;74;81;(11);06;02;
"Lucky-175-HN";08;18;33;44;59;28;39;49;52;81;31;47;63;77;83;(14);06;03;
"Lucky-176-M5";21;34;43;65;84;16;57;64;79;88;07;15;20;60;74;(11);06;03;
"Lucky-177-1L";11;25;30;40;82;05;22;55;68;87;24;36;42;51;75;(10);06;02;
"Lucky-178-YZ";14;45;58;69;90;02;12;27;32;48;01;17;62;78;89;(06);06;03;
"Lucky-179-V1";03;19;26;56;71;09;41;66;72;85;04;13;38;50;76;(06);06;03;
"Lucky-180-MV";29;54;67;73;86;10;23;37;46;80;06;35;53;61;70;(03);06;03;
"Lucky-181-R1";16;23;40;71;90;05;35;55;67;82;12;43;59;64;83;(04);06;03;
"Lucky-182-SH";09;14;33;45;69;06;34;41;52;84;15;29;57;60;73;(01);06;03;
"Lucky-183-01";13;27;37;74;86;17;44;65;75;85;01;32;56;76;89;(06);06;03;
"Lucky-184-H1";19;20;30;46;51;07;21;49;50;78;03;28;36;61;80;(05);06;03;
"Lucky-185-57";11;22;42;58;68;31;54;66;79;81;04;10;24;39;77;(03);06;03;
"Lucky-186-GH";02;18;38;47;87;26;48;62;72;88;08;25;53;63;70;(11);06;03;
"Lucky-187-BV";16;34;59;61;88;05;13;23;48;69;27;31;54;72;90;(07);06;03;
"Lucky-188-HB";03;30;42;52;79;12;40;50;65;78;18;26;53;75;87;(06);06;03;
"Lucky-189-85";15;24;44;51;86;19;39;41;62;77;06;17;45;67;84;(04);06;03;
"Lucky-190-9T";07;33;46;68;83;01;20;64;71;81;10;21;43;55;80;(00);06;03;
"Lucky-191-61";28;32;63;73;82;08;14;36;47;76;04;22;37;58;89;(09);06;03;
"Lucky-192-57";02;25;49;56;70;09;11;35;57;60;29;38;66;74;85;(08);06;03;
"Lucky-193-Y7";11;22;41;55;72;05;33;45;68;81;03;21;53;61;71;(06);06;03;
"Lucky-194-L7";20;36;47;60;89;07;13;57;79;87;18;23;35;67;86;(01);06;02;
"Lucky-195-3T";12;34;52;64;84;27;31;54;73;82;06;17;26;49;50;(08);06;03;
"Lucky-196-1V";04;25;38;59;88;09;16;42;66;85;08;39;43;58;74;(01);06;03;
"Lucky-197-KZ";02;10;37;70;80;29;48;51;69;78;14;28;40;76;90;(14);06;03;
"Lucky-198-CF";01;24;30;63;83;15;46;56;65;77;19;32;44;62;75;(04);06;03;
"Lucky-199-BP";08;23;45;52;67;18;28;36;66;73;26;42;58;60;87;(02);06;03;
"Lucky-200-N3";09;47;62;74;85;15;25;31;44;51;20;46;65;76;80;(14);06;03;
"Lucky-201-MF";03;12;34;79;83;24;56;69;78;90;11;22;38;40;89;(05);06;03;
"Lucky-202-G3";05;10;29;37;53;01;14;48;72;88;06;16;55;61;81;(13);06;03;
"Lucky-203-YX";19;33;41;54;82;07;27;39;43;77;02;35;50;64;70;(05);06;03;
"Lucky-204-ML";17;49;57;68;86;04;30;59;63;75;13;21;32;71;84;(10);06;03;
"Lucky-205-S5";08;17;23;46;55;04;28;40;52;68;20;31;64;73;90;(05);06;03;
"Lucky-206-U9";05;27;35;79;80;36;41;56;75;85;13;25;57;65;78;(10);06;03;
"Lucky-207-OH";15;44;61;71;84;03;39;42;66;87;29;30;48;54;62;(12);06;03;
"Lucky-208-1F";02;32;58;77;81;07;19;33;49;63;06;24;53;60;88;(08);06;03;
"Lucky-209-57";11;47;67;72;86;09;14;21;37;76;12;38;43;50;83;(01);06;03;
"Lucky-210-53";10;22;34;74;89;16;45;51;70;82;01;18;26;59;69;(06);06;02;
"Lucky-211-AD";01;11;49;79;83;26;34;55;68;88;19;23;30;41;78;(04);06;03;
"Lucky-212-T3";04;15;48;62;90;09;25;31;63;74;08;18;32;57;86;(04);06;03;
"Lucky-213-4R";17;33;46;66;75;20;42;50;69;89;06;10;22;58;61;(08);06;03;
"Lucky-214-SJ";03;29;38;65;77;24;40;54;73;85;12;39;53;76;82;(13);06;03;
"Lucky-215-N9";13;27;36;44;81;02;56;64;70;80;16;43;52;60;87;(13);06;03;
"Lucky-216-YL";05;21;51;67;71;28;37;47;72;84;07;14;35;45;59;(03);06;03;
"Lucky-217-KR";02;11;51;61;77;29;34;42;65;88;23;39;46;72;82;(09);06;03;
"Lucky-218-U9";07;12;24;38;58;13;59;69;78;85;41;53;64;73;83;(08);06;03;
"Lucky-219-ZH";18;37;40;68;90;05;21;45;57;80;43;50;66;74;81;(10);06;03;
"Lucky-220-SH";04;10;20;33;87;08;16;35;56;75;03;15;22;47;60;(09);05;03;
"Lucky-221-25";17;26;44;52;86;19;25;30;55;63;09;27;48;70;84;(05);06;02;
"Lucky-222-D9";28;32;62;79;89;06;31;54;67;71;01;14;36;49;76;(01);06;03;
"Lucky-223-ZN";07;16;25;32;62;20;49;50;65;84;01;24;51;70;90;(03);06;03;
"Lucky-224-4T";05;27;48;78;85;21;35;56;60;87;06;18;29;47;63;(05);06;03;
"Lucky-225-IX";10;34;40;59;76;15;28;45;55;88;04;42;64;72;83;(03);06;02;
"Lucky-226-TT";03;39;44;68;74;26;37;43;57;77;11;54;67;73;82;(14);06;03;
"Lucky-227-RL";19;30;52;69;75;08;17;23;33;89;09;14;46;53;80;(08);06;03;
"Lucky-228-DX";02;31;41;58;61;13;22;36;71;81;12;38;66;79;86;(02);06;03;
"Lucky-229-KD";02;18;34;52;64;23;35;46;66;78;29;49;62;77;86;(07);06;03;
"Lucky-230-3T";20;58;67;75;83;08;19;26;39;68;10;22;37;41;88;(08);06;03;
"Lucky-231-97";07;24;43;70;85;12;48;55;71;87;30;51;65;72;90;(14);06;02;
"Lucky-232-0J";04;28;45;57;81;06;16;31;74;80;15;38;47;59;69;(05);06;03;
"Lucky-233-ET";05;14;50;76;89;09;27;36;44;56;25;53;60;73;84;(14);06;03;
"Lucky-234-9F";03;17;42;63;82;01;13;33;40;61;11;21;32;54;79;(04);06;03;
"Lucky-235-E9";18;27;42;52;90;09;21;37;40;77;06;10;23;50;67;(13);06;03;
"Lucky-236-TH";03;15;34;78;86;32;48;57;66;89;04;20;64;73;84;(04);06;03;
"Lucky-237-E3";13;28;36;63;74;02;39;49;65;81;01;35;54;70;88;(05);06;03;
"Lucky-238-EX";29;31;51;72;83;17;47;55;62;80;07;22;30;44;71;(00);06;03;
"Lucky-239-CZ";16;25;56;61;87;05;19;41;75;85;11;38;46;53;76;(03);06;03;
"Lucky-240-8Z";12;24;33;58;68;08;14;43;59;60;26;45;69;79;82;(03);06;03;
#
# Series generator random seed: 5.752.564.271.088.204.102
# Generation heuristic approximately took 2 minutes, 9 seconds, 243 milliseconds
# Series are sorted from 'best' to 'worst' considering maximum equal number between cards.
#
# 237 cards have  6 numbers equal to another card
#  3 cards have  5 numbers equal to another card
# 215 cards have at least a row with  3 numbers equal to a row in an another card
# 25 cards have at least a row with  2 numbers equal to a row in an another card
#
# END OF CARD FILE
