##$#TombolaLib;1.1;CSV_PLUS
#
# TombolaLib 1.1
# Creation timestamp: 2018/04/03 23:14:25
# File Format: CSV_PLUS. Use of Jolly numbers: ON
# 30 Series (180 cards)
# Card generation tecnique: PerfectSwap_1.1
# Card set generation heuristic: Control & Add Factory 1.0
#
CardLabel;NumR0C0;NumR0C1;NumR0C2;NumR0C3;NumR0C4;NumR0C5;NumR0C6;NumR0C7;NumR0C8;NumR1C0;NumR1C1;NumR1C2;NumR1C3;NumR1C4;NumR1C5;NumR1C6;NumR1C7;NumR1C8;NumR2C0;NumR2C1;NumR2C2;NumR2C3;NumR2C4;NumR2C5;NumR2C6;NumR2C7;NumR2C8;JollyIndex;MaxEqualPerCard;MaxEqualPerRow;
"TT-022-ML";00;00;23;00;47;59;00;73;88;04;13;00;30;00;00;66;79;00;00;12;00;35;44;00;67;00;89;(01);06;02;
"TT-023-7P";00;11;00;00;00;53;60;70;85;06;00;22;32;45;51;00;00;00;00;16;00;36;42;00;65;00;81;(00);06;02;
"TT-024-5X";08;17;25;31;00;00;00;00;84;09;00;20;00;00;56;68;74;00;00;00;00;39;43;55;64;76;00;(11);06;02;
"TT-025-HZ";08;17;22;38;00;00;00;00;86;07;00;00;32;00;57;61;00;90;00;00;27;00;44;00;68;72;83;(14);06;02;
"TT-026-IH";00;00;20;33;45;59;00;00;80;00;16;29;39;00;00;00;76;87;05;00;25;00;47;00;69;00;85;(08);06;02;
"TT-027-WL";04;14;00;00;40;53;65;00;00;00;00;21;30;46;58;00;78;00;06;15;00;00;00;54;62;00;89;(05);06;02;
"TT-028-FX";00;00;26;00;42;52;60;79;00;01;00;00;34;00;00;63;75;88;03;10;00;35;00;55;00;00;82;(13);06;02;
"TT-029-3Z";00;13;28;36;00;00;64;71;00;09;12;00;00;48;51;00;00;81;00;19;00;31;00;56;66;77;00;(12);06;02;
"TT-030-4Z";02;11;00;00;41;50;00;70;00;00;00;24;37;43;00;00;74;84;00;18;23;00;49;00;67;73;00;(00);06;02;
"TT-031-RX";06;00;00;00;00;51;68;74;82;00;00;25;32;48;00;00;72;89;00;14;28;38;00;56;64;00;00;(14);06;02;
"TT-032-H1";05;00;23;37;00;00;60;77;00;00;19;27;00;46;52;67;00;00;09;15;20;00;42;00;00;00;80;(13);06;02;
"TT-033-O5";02;13;21;00;45;00;00;00;86;00;00;00;34;40;57;69;73;00;07;17;29;36;00;00;00;76;00;(12);06;02;
"TT-034-SJ";00;00;22;00;41;58;61;00;90;03;18;00;00;00;00;62;79;88;00;10;00;39;44;50;00;00;85;(06);06;02;
"TT-035-2D";01;00;24;31;00;53;00;00;87;04;16;00;35;00;00;63;78;00;00;11;00;00;43;59;00;71;81;(10);06;02;
"TT-036-UH";00;00;00;30;49;55;66;00;83;08;00;00;00;47;00;65;70;84;00;12;26;33;00;54;00;75;00;(09);06;02;
"TT-037-BF";00;12;20;34;49;54;00;00;00;02;00;23;00;00;00;64;77;90;00;18;26;00;00;00;62;75;82;(05);06;02;
"TT-038-XT";01;00;00;32;43;00;65;74;00;08;00;21;00;46;53;00;00;81;04;10;00;00;48;00;68;00;85;(03);06;02;
"TT-039-GB";00;15;25;00;00;50;00;79;88;05;16;00;38;00;00;67;73;00;00;11;00;00;40;55;60;00;84;(14);06;02;
"TT-040-9J";06;00;00;30;44;56;00;00;89;00;17;27;35;00;51;66;00;00;03;00;24;00;00;00;69;78;87;(02);06;02;
"TT-041-31";00;00;00;39;45;52;00;70;86;00;14;28;31;47;59;00;00;00;09;19;00;00;42;57;61;00;00;(07);06;02;
"TT-042-KD";07;00;00;36;00;58;00;71;83;00;13;22;33;41;00;00;72;00;00;00;29;37;00;00;63;76;80;(06);06;02;
"TT-043-YX";00;00;27;36;00;57;63;72;00;08;00;20;00;42;53;00;00;82;01;16;00;32;00;50;00;00;84;(10);06;02;
"TT-044-X9";00;00;00;34;45;00;61;79;81;06;18;25;00;00;00;00;77;89;00;15;00;00;44;58;60;75;00;(07);06;02;
"TT-045-U3";05;19;00;35;00;54;69;00;00;09;14;00;00;41;00;65;71;00;00;11;24;00;46;00;00;73;90;(12);06;02;
"TT-046-T9";00;13;00;00;43;00;67;78;87;00;00;23;38;47;52;00;74;00;04;00;21;00;00;59;64;00;83;(05);06;02;
"TT-047-8X";00;12;26;37;00;00;66;00;86;00;17;00;39;48;56;00;00;85;07;00;28;00;40;00;62;70;00;(12);06;02;
"TT-048-U9";02;00;22;31;00;00;00;76;80;00;10;00;33;49;51;68;00;00;03;00;29;30;00;55;00;00;88;(01);06;02;
"TT-049-B1";08;00;25;00;49;00;00;71;86;00;00;22;37;45;00;65;79;00;00;17;28;31;00;56;68;00;00;(07);06;02;
"TT-050-WB";03;14;00;00;41;55;00;00;80;00;00;21;36;00;00;66;70;89;00;10;00;00;46;00;69;77;87;(02);06;02;
"TT-051-A9";00;00;00;34;43;54;00;78;81;01;00;00;38;00;53;67;76;00;02;13;29;33;00;00;00;00;83;(08);06;02;
"TT-052-UB";07;00;26;00;00;59;64;00;88;00;16;00;39;00;52;62;00;84;00;00;24;00;42;58;61;74;00;(11);06;02;
"TT-053-7V";00;19;27;00;40;00;60;73;00;06;12;23;30;00;50;00;00;00;05;18;00;00;44;57;00;00;82;(09);06;02;
"TT-054-2L";00;00;20;35;48;00;00;75;90;09;15;00;00;47;00;63;72;00;04;11;00;32;00;51;00;00;85;(11);06;02;
"TT-055-NB";00;00;26;00;48;00;67;70;87;00;00;20;36;00;52;63;79;00;05;17;00;00;49;53;60;00;00;(14);06;02;
"TT-056-8X";00;11;21;31;00;55;00;00;80;08;12;00;30;00;59;00;73;00;00;00;00;32;43;00;64;78;82;(00);06;02;
"TT-057-MB";00;00;00;00;46;57;66;71;81;02;00;25;38;41;00;00;00;86;00;18;29;35;45;00;00;00;88;(07);05;02;
"TT-058-NT";03;00;22;00;42;00;68;00;90;00;10;00;37;40;58;00;77;00;07;00;00;00;00;56;65;74;84;(07);06;02;
"TT-059-3B";06;15;23;00;44;00;00;72;00;00;13;27;00;00;00;62;75;89;01;00;00;33;00;54;61;00;85;(06);06;02;
"TT-060-CH";04;19;28;39;47;00;00;00;00;00;16;24;00;00;50;69;76;00;09;14;00;34;00;51;00;00;83;(02);06;02;
"TT-061-E3";09;00;20;00;00;55;00;76;90;08;00;27;00;48;00;69;72;00;00;16;28;37;00;00;62;00;81;(00);05;02;
"TT-062-8P";00;00;00;31;41;58;00;73;89;00;18;25;00;42;00;67;00;82;01;17;21;34;00;00;00;00;80;(03);06;02;
"TT-063-X5";00;19;24;35;00;56;60;00;00;00;00;22;32;49;52;66;00;00;06;12;00;00;45;00;00;71;88;(01);06;02;
"TT-064-5D";00;00;23;30;43;00;63;00;86;00;00;00;00;47;57;61;70;85;07;10;00;00;00;53;00;79;83;(09);05;02;
"TT-065-OB";04;15;29;00;46;51;00;00;00;03;13;00;00;44;00;00;77;84;05;00;00;36;00;59;65;75;00;(03);06;02;
"TT-066-8N";00;14;00;33;00;54;68;78;00;00;11;26;38;00;00;64;00;87;02;00;00;39;40;50;00;74;00;(14);06;02;
"TT-067-DT";00;13;20;00;00;00;60;72;80;06;19;23;00;47;55;00;00;00;00;00;00;36;43;00;66;74;83;(07);06;02;
"TT-068-PN";07;00;00;00;44;00;69;75;82;00;16;00;39;00;50;68;00;81;00;17;25;00;45;58;64;00;00;(09);06;02;
"TT-069-9T";00;00;27;00;00;53;62;77;84;04;11;00;38;00;00;00;79;88;00;00;00;31;46;57;67;00;89;(12);06;02;
"TT-070-RH";00;00;22;37;42;52;00;70;00;02;00;00;00;48;51;61;00;87;05;15;26;00;40;59;00;00;00;(06);06;02;
"TT-071-J3";08;10;00;33;41;00;63;00;00;09;00;28;32;00;00;00;73;90;00;18;24;30;00;56;00;71;00;(14);06;02;
"TT-072-YF";01;14;21;35;00;00;00;00;86;00;00;29;34;00;54;65;76;00;03;12;00;00;49;00;00;78;85;(06);06;02;
"TT-073-P5";03;15;27;00;42;00;62;00;00;09;00;23;39;00;51;00;00;84;00;11;00;35;43;00;00;77;88;(12);06;02;
"TT-074-NL";00;00;00;33;00;57;63;78;89;02;00;26;00;00;58;64;79;00;07;13;00;00;44;59;61;00;00;(02);06;02;
"TT-075-1F";00;00;21;34;47;55;00;00;86;08;14;22;00;00;00;65;00;87;04;12;00;36;00;00;00;71;90;(02);06;02;
"TT-076-DT";00;00;24;00;00;53;60;76;83;00;17;00;30;41;00;67;00;80;06;00;29;31;46;54;00;00;00;(07);06;02;
"TT-077-GZ";01;19;00;38;49;00;00;74;00;00;00;00;37;48;52;66;75;00;00;18;28;00;00;50;68;00;85;(13);06;02;
"TT-078-DJ";05;10;20;00;00;00;00;72;82;00;16;00;32;45;00;00;73;81;00;00;25;00;40;56;69;70;00;(08);06;02;
"TT-079-MP";05;00;00;39;40;00;64;75;00;00;12;20;31;44;00;00;00;86;06;13;00;36;00;52;00;76;00;(08);06;02;
"TT-080-NJ";09;11;00;30;00;00;63;00;80;03;00;24;38;00;55;00;72;00;04;00;29;00;42;58;00;00;84;(14);06;02;
"TT-081-SJ";08;18;00;00;00;50;00;71;90;00;00;26;33;46;00;00;79;81;00;10;00;00;45;54;61;78;00;(13);06;02;
"TT-082-PL";00;17;00;32;00;59;67;77;00;01;16;21;37;49;00;00;00;00;00;15;25;00;43;00;69;00;83;(02);06;02;
"TT-083-5L";02;00;28;00;00;57;66;00;82;00;00;00;00;41;53;65;70;87;00;14;00;34;47;00;62;00;89;(13);06;02;
"TT-084-OR";00;00;23;35;00;00;68;73;85;00;19;27;00;48;51;00;74;00;07;00;22;00;00;56;60;00;88;(05);06;02;
"TT-085-GB";09;00;00;39;48;00;67;00;83;00;11;24;00;00;52;65;72;00;00;18;22;33;00;00;00;75;88;(10);06;02;
"TT-086-B1";02;00;00;30;00;59;61;00;89;04;15;00;38;42;00;00;00;85;06;00;28;00;00;00;68;73;87;(11);06;02;
"TT-087-OD";00;00;27;35;45;54;00;71;00;08;13;23;32;00;00;00;00;80;00;17;20;00;40;00;62;78;00;(04);06;02;
"TT-088-X1";03;00;00;36;00;58;64;00;82;00;16;00;00;41;57;60;70;00;00;00;25;00;46;51;00;77;81;(10);06;02;
"TT-089-07";01;10;29;00;00;00;66;00;86;00;19;00;37;43;00;69;00;90;07;00;26;34;00;55;00;76;00;(06);06;02;
"TT-090-9J";00;12;21;00;47;56;63;00;00;00;14;00;31;49;50;00;74;00;05;00;00;00;44;53;00;79;84;(14);06;02;
"TT-091-EZ";09;12;28;30;40;00;00;00;00;03;10;00;36;00;00;00;77;88;01;00;00;32;00;51;68;00;87;(11);06;02;
"TT-092-A7";08;19;22;00;00;00;00;73;89;02;14;00;00;44;00;60;00;85;00;00;20;37;00;55;00;70;86;(01);06;02;
"TT-093-S3";00;00;25;38;00;56;00;79;83;00;13;00;34;45;52;00;00;84;04;00;00;00;48;54;62;71;00;(14);06;02;
"TT-094-J7";05;00;24;00;46;00;67;00;81;00;17;00;35;43;00;63;00;80;00;00;26;00;41;50;64;74;00;(06);06;02;
"TT-095-IZ";06;16;21;00;00;00;00;72;90;00;11;00;33;00;59;66;75;00;00;00;23;00;47;58;61;78;00;(05);06;02;
"TT-096-31";00;15;29;00;42;57;00;00;82;00;18;27;39;00;53;69;00;00;07;00;00;31;49;00;65;76;00;(14);05;02;
"TT-097-15";00;15;24;31;45;00;00;71;00;08;00;23;00;43;52;00;00;88;00;00;25;30;00;54;64;78;00;(14);06;02;
"TT-098-9R";03;00;27;38;00;53;00;00;85;00;00;00;35;44;00;63;79;82;02;10;28;00;00;56;00;77;00;(01);06;02;
"TT-099-G5";01;13;00;37;42;00;68;00;00;00;17;00;00;48;58;66;76;00;00;00;22;00;46;00;61;70;80;(14);06;02;
"TT-100-4V";00;14;00;00;40;00;60;75;83;07;00;21;32;00;51;65;00;00;00;16;26;34;00;50;00;00;90;(09);06;02;
"TT-101-UJ";09;11;29;00;41;55;00;00;00;06;19;00;00;00;59;62;00;84;00;18;00;33;47;00;00;74;81;(12);05;02;
"TT-102-WH";00;00;20;00;49;00;69;73;86;04;12;00;39;00;00;00;72;89;05;00;00;36;00;57;67;00;87;(00);06;02;
"TT-103-3L";03;00;00;00;47;50;61;74;00;00;12;23;34;00;55;00;70;00;05;00;00;39;49;58;00;00;81;(07);06;02;
"TT-104-D9";00;11;29;32;00;00;66;77;00;09;00;00;31;00;52;68;72;00;02;00;00;00;42;56;63;00;85;(10);06;02;
"TT-105-99";01;17;00;38;46;00;00;00;89;00;10;00;00;00;53;65;75;86;06;13;25;00;00;00;69;00;88;(07);06;02;
"TT-106-DB";08;00;00;37;00;00;67;79;80;00;14;24;35;48;00;00;00;84;00;19;27;00;44;59;00;71;00;(08);06;02;
"TT-107-75";04;00;22;33;40;00;00;73;00;00;18;00;36;41;54;00;00;82;00;00;26;00;43;51;60;00;90;(01);06;02;
"TT-108-BL";07;15;21;00;00;57;00;76;00;00;16;20;30;00;00;64;00;83;00;00;28;00;45;00;62;78;87;(05);06;02;
"TT-109-V5";00;15;00;32;00;51;00;73;88;03;12;00;00;47;00;67;00;83;08;18;26;36;00;00;00;70;00;(12);06;02;
"TT-110-LB";04;16;24;00;00;00;00;79;80;00;13;00;00;44;00;62;74;86;00;00;20;31;46;58;00;00;87;(07);05;02;
"TT-111-UT";06;00;28;00;49;52;63;00;00;09;00;00;35;48;50;64;00;00;00;14;21;33;00;00;00;72;85;(07);06;02;
"TT-112-L3";00;11;00;00;00;53;61;76;84;00;19;22;00;45;00;00;71;82;01;00;00;37;43;59;60;00;00;(12);06;02;
"TT-113-NR";00;00;27;30;42;00;68;75;00;05;10;29;38;00;54;00;00;00;02;00;23;00;00;55;65;00;81;(13);06;02;
"TT-114-29";00;00;00;39;40;57;00;77;89;07;00;25;34;00;00;69;00;90;00;17;00;00;41;56;66;78;00;(09);06;02;
"TT-115-07";00;00;24;32;41;52;61;00;00;02;17;21;35;00;00;00;75;00;06;00;00;00;49;00;69;74;90;(11);06;02;
"TT-116-KD";09;10;00;37;48;00;00;00;89;04;00;22;38;00;00;60;72;00;00;18;23;30;00;51;00;00;80;(05);06;02;
"TT-117-QV";08;11;00;36;00;50;00;77;00;00;12;00;00;45;57;65;00;87;00;00;28;39;00;00;64;79;86;(04);06;02;
"TT-118-Z5";07;13;00;34;46;00;00;73;00;05;00;00;00;47;59;67;00;84;00;16;27;00;43;53;00;71;00;(06);05;02;
"TT-119-VF";03;14;20;00;00;54;00;00;81;00;00;00;33;44;58;00;70;82;00;15;00;00;00;56;66;76;88;(06);06;02;
"TT-120-GL";00;00;29;00;42;55;68;00;83;01;00;25;00;00;00;63;78;85;00;19;26;31;40;00;62;00;00;(08);06;02;
"TT-121-2P";04;00;25;00;00;54;65;00;81;02;00;00;00;44;00;63;70;87;00;11;20;32;46;53;00;00;00;(09);06;02;
"TT-122-LR";00;12;00;00;47;51;66;00;85;06;13;28;33;00;00;00;00;84;00;00;00;39;45;55;00;72;90;(11);06;02;
"TT-123-2B";07;00;29;00;00;50;00;71;80;00;15;00;36;00;59;60;00;82;01;14;00;30;49;00;00;73;00;(06);05;02;
"TT-124-SN";08;19;00;00;43;00;61;74;00;00;00;00;37;42;56;00;78;89;00;18;27;00;48;00;64;00;86;(06);06;02;
"TT-125-6V";00;16;23;00;41;52;00;79;00;03;00;21;31;00;58;62;00;00;00;00;26;34;00;00;68;75;83;(07);06;02;
"TT-126-WB";05;10;22;35;40;00;00;00;00;09;00;24;00;00;57;67;77;00;00;17;00;38;00;00;69;76;88;(07);05;02;
"TT-127-49";00;13;00;00;49;50;00;76;84;03;00;26;35;42;00;00;70;00;01;00;29;33;00;00;62;00;90;(05);06;02;
"TT-128-KL";07;00;23;38;00;55;60;00;00;00;19;21;00;00;57;00;72;80;00;00;00;37;46;56;64;00;86;(12);06;02;
"TT-129-NR";08;00;00;30;48;53;00;74;00;00;00;25;39;00;54;66;00;88;00;17;27;00;00;59;65;00;81;(02);06;02;
"TT-130-F3";04;16;00;00;00;00;61;73;82;00;18;20;00;40;58;00;00;89;00;00;24;34;43;00;63;77;00;(14);06;02;
"TT-131-XL";00;11;00;00;44;00;67;75;87;05;15;00;31;00;51;00;78;00;09;10;28;00;45;00;00;00;83;(02);06;02;
"TT-132-WZ";00;00;00;36;41;00;69;71;85;02;12;22;00;00;00;68;79;00;06;14;00;32;47;52;00;00;00;(11);06;02;
"TT-133-WH";05;10;24;00;43;51;00;00;00;03;16;00;00;40;00;00;70;90;00;00;00;37;47;54;62;00;83;(06);06;02;
"TT-134-XR";07;14;00;00;00;50;65;00;81;00;12;22;35;00;59;00;71;00;00;13;27;00;41;58;00;00;85;(14);06;02;
"TT-135-35";00;15;28;00;46;00;63;00;88;09;00;29;34;00;00;00;78;80;01;00;00;30;45;52;61;00;00;(00);06;02;
"TT-136-3N";00;00;26;31;48;00;68;79;00;08;00;00;38;00;53;00;73;84;00;19;00;36;00;00;64;74;89;(13);06;02;
"TT-137-LD";00;00;20;32;42;56;00;76;00;06;00;00;33;49;00;67;72;00;00;17;23;00;00;00;69;77;86;(09);06;02;
"TT-138-ZF";04;18;00;00;00;55;66;75;00;00;11;25;00;44;00;60;00;82;02;00;21;39;00;57;00;00;87;(10);06;02;
"TT-139-NX";00;17;00;38;00;55;65;79;00;06;00;26;00;41;00;63;00;86;00;10;23;00;00;00;68;72;84;(12);06;02;
"TT-140-3V";02;11;00;30;00;58;00;00;87;08;00;25;36;00;00;62;00;85;05;00;00;00;48;59;69;77;00;(07);06;02;
"TT-141-1D";04;18;24;32;00;00;00;70;00;03;13;21;39;00;52;00;00;00;00;00;29;33;43;00;60;00;82;(06);06;02;
"TT-142-1P";00;12;00;35;47;53;00;00;90;00;15;28;00;42;00;66;78;00;07;00;20;00;46;50;64;00;00;(07);06;02;
"TT-143-IX";09;00;00;31;00;51;61;75;00;00;19;00;37;00;56;00;76;81;00;16;22;00;44;57;00;00;80;(02);06;02;
"TT-144-8X";01;00;00;00;49;54;00;71;89;00;00;27;00;40;00;67;74;83;00;14;00;34;45;00;00;73;88;(07);06;02;
"TT-145-WL";00;00;25;00;44;52;00;71;84;08;00;00;00;42;00;65;78;83;00;13;20;39;00;53;00;00;88;(14);06;02;
"TT-146-27";06;00;00;36;00;00;66;75;87;00;00;00;32;48;54;00;70;85;00;15;29;00;47;55;00;00;81;(01);06;02;
"TT-147-J5";05;11;00;00;45;00;60;72;00;00;16;21;00;40;56;00;74;00;01;00;24;33;49;00;00;00;80;(13);06;02;
"TT-148-0N";04;18;28;00;00;00;67;76;00;07;14;26;37;43;00;00;00;00;09;12;00;35;00;58;00;00;86;(06);06;02;
"TT-149-DT";02;00;00;31;41;57;63;00;00;00;19;00;30;00;59;68;77;00;00;10;23;00;00;00;62;73;82;(14);06;02;
"TT-150-PR";03;17;00;00;00;00;61;79;89;00;00;22;38;00;50;69;00;90;00;00;27;34;46;51;64;00;00;(10);06;02;
"TT-151-R5";00;00;20;35;00;52;62;00;87;01;18;00;00;00;00;60;77;83;00;16;00;00;42;53;63;76;00;(13);06;02;
"TT-152-EZ";04;13;00;00;49;00;65;70;00;05;00;24;30;00;54;00;00;90;00;00;27;00;43;00;61;79;88;(02);06;02;
"TT-153-I7";03;00;26;32;45;00;00;74;00;00;15;25;34;46;56;00;00;00;00;17;21;39;00;00;69;00;82;(00);06;02;
"TT-154-27";00;12;00;36;48;57;00;00;89;00;00;28;31;44;00;67;00;84;07;19;29;33;00;00;00;72;00;(11);06;02;
"TT-155-A3";08;00;00;00;47;50;00;75;86;00;14;00;00;00;51;64;73;81;06;11;23;37;00;58;00;00;00;(02);06;02;
"TT-156-LF";00;00;22;00;41;59;66;00;80;02;10;00;00;00;55;00;71;85;09;00;00;38;40;00;68;78;00;(12);06;02;
"TT-157-MN";00;11;22;00;48;00;69;00;80;06;10;00;31;00;00;60;71;00;02;00;25;00;49;53;63;00;00;(01);06;02;
"TT-158-8T";00;16;29;00;00;54;00;73;86;07;00;00;38;40;00;61;79;00;00;13;20;32;00;50;00;00;81;(04);06;02;
"TT-159-55";00;14;00;35;00;51;65;00;88;08;00;26;30;00;00;62;00;87;00;00;00;00;42;57;64;76;90;(10);06;02;
"TT-160-VZ";03;15;00;33;00;59;00;00;83;00;00;23;00;45;58;66;00;84;01;19;27;00;41;00;00;77;00;(07);06;02;
"TT-161-75";00;00;21;39;00;00;67;70;85;09;12;00;00;47;00;00;75;82;05;00;24;37;44;56;00;00;00;(14);06;02;
"TT-162-IN";00;18;00;34;46;00;68;72;00;04;17;00;00;43;55;00;74;00;00;00;28;36;00;52;00;78;89;(01);05;02;
"TT-163-0L";05;16;00;33;44;00;00;00;87;00;14;22;38;00;00;00;70;83;04;00;00;00;41;52;62;78;00;(02);06;02;
"TT-164-0D";00;15;00;37;49;00;69;00;84;00;10;00;00;00;55;68;74;88;01;00;27;00;00;50;63;00;89;(09);06;02;
"TT-165-01";06;00;20;35;00;54;60;00;00;00;17;28;00;43;00;66;79;00;00;12;25;00;40;00;00;76;86;(12);06;02;
"TT-166-EF";02;00;29;00;42;00;00;75;81;07;19;23;00;00;56;00;00;90;00;00;00;36;45;57;61;77;00;(09);06;02;
"TT-167-CR";03;00;00;32;48;51;00;00;80;00;18;21;31;00;59;00;71;00;09;00;00;00;46;00;67;73;85;(06);06;02;
"TT-168-U3";00;13;00;34;47;53;00;72;00;08;00;24;39;00;58;64;00;00;00;11;26;30;00;00;65;00;82;(04);06;02;
"TT-169-3J";08;00;00;30;00;55;63;79;00;09;18;24;00;45;00;00;00;81;07;00;00;00;40;51;66;00;84;(12);06;02;
"TT-170-KF";06;15;29;34;00;00;00;00;83;00;14;25;37;00;53;62;00;00;00;11;00;39;43;00;68;73;00;(10);05;02;
"TT-171-NZ";00;00;22;00;44;56;64;70;00;00;00;00;31;46;59;61;00;86;01;17;20;00;00;00;00;72;85;(00);06;02;
"TT-172-DF";03;00;26;38;00;00;00;78;90;05;00;00;33;00;52;67;00;89;00;19;28;32;49;00;00;00;87;(11);06;02;
"TT-173-NT";00;00;00;36;48;58;60;77;00;00;16;00;00;47;57;00;76;88;02;13;27;00;00;54;00;74;00;(04);06;02;
"TT-174-8Z";00;00;00;35;42;00;65;71;82;00;10;23;00;00;50;00;75;80;04;12;21;00;41;00;69;00;00;(03);06;02;
"TT-175-DF";00;10;00;30;00;50;62;00;88;00;14;27;00;44;58;00;74;00;06;00;00;31;45;00;00;76;81;(05);06;02;
"TT-176-3V";00;00;22;32;00;00;67;72;80;08;12;00;00;48;52;00;00;83;05;19;23;00;00;00;66;73;00;(00);06;02;
"TT-177-RR";00;17;21;00;00;00;63;77;90;02;00;00;00;47;00;68;70;89;09;00;00;35;41;59;60;00;00;(07);06;02;
"TT-178-TT";03;11;26;34;00;54;00;00;00;00;15;00;36;00;55;64;00;87;00;00;24;38;42;57;00;79;00;(05);06;02;
"TT-179-9P";01;00;00;00;43;00;61;71;84;00;16;25;39;40;00;65;00;00;00;18;00;33;49;53;00;00;85;(03);06;02;
"TT-180-99";04;13;29;00;00;56;00;00;86;00;00;28;37;46;00;00;75;82;07;00;20;00;00;51;69;78;00;(06);06;02;
#
# Series generator random seed: 5.256.607.432.202.815.896
# Generation heuristic approximately took 4 minutes, 54 seconds, 792 milliseconds
# Series are sorted from 'best' to 'worst' considering maximum equal number between cards.
#
# 166 cards have  6 equal numbers with another card
# 14 cards have  5 equal numbers with another card
# 180 cards have at least a row with  2 equal numbers with a row in an another card
#
# END OF CARD FILE
